"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"В корзине сохраняются выбранные товары","893","В корзине сохраняются выбранные товары","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CartTest","Smoke","tests.CartTest","checkCart"
"","1014","Заполнение Checkout формы с пустыми данными","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CheckoutTest","Smoke","tests.CheckoutTest","checkFillOutWitEmptyCred"
"","980","Проверка логина с параметризированными негативными кредами","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Smoke","tests.LoginTest","checkFillOutWitEmptyCred"
"","1058","Проверка кнопки Finish","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CheckoutTest","Smoke","tests.CheckoutTest","checkFinishButton"
"","1108","Заполнение Checkout формы с позитивными данными","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CheckoutTest","Smoke","tests.CheckoutTest","checkFillOutWithPositiveCred"
"","988","Проверка логина с параметризированными негативными кредами","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Smoke","tests.LoginTest","checkFillOutWitEmptyCred"
"","957","Проверка логина с параметризированными негативными кредами","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Smoke","tests.LoginTest","checkFillOutWitEmptyCred"
"","484","Проверка логина с негативным логином и паролем","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Smoke","tests.LoginTest","chekLoginWithNegativeCred"
"","1","checkCartTwo","SauceDemo suite","2026-06-08","unknown","2026-06-08","tests.CartTest","Smoke","tests.CartTest","checkCartTwo"
"","975","Заполнение Checkout формы с пустыми данными","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CheckoutTest","Smoke","tests.CheckoutTest","checkFillOutWitEmptyCred"
"","978","Проверка логина с параметризированными негативными кредами","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Smoke","tests.LoginTest","checkFillOutWitEmptyCred"
"","949","Заполнение Checkout формы с пустыми данными","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CheckoutTest","Smoke","tests.CheckoutTest","checkFillOutWitEmptyCred"
"","959","Заполнение Checkout формы с пустыми данными","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CheckoutTest","Smoke","tests.CheckoutTest","checkFillOutWitEmptyCred"
"","1062","E2E сценарий","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.End2EndTest","Smoke","tests.End2EndTest","endToEnd"
"Проверка логина с позитивным логином и паролем","4637","Проверка логина с позитивным логином и паролем","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Smoke","tests.LoginTest","checkLoginWithPositiveCred"
